date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:45	974/974	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2010:33:52	https://img.icons8.com/color/48/000000/tiktok--v1.png	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/img.icons8.com/color/48/000000/tiktok--v1.png	(from https://niqsfitgym.me/)
16:48:45	219901/219901	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f3b3bcda4da7f051caeca57d86f0de11%22	https://niqsfitgym.me/hs/hsstatic/cms-free-branding-lib/static-1.267/js/index.js	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs/hsstatic/cms-free-branding-lib/static-1.267/js/index.js	(from https://niqsfitgym.me/)
16:48:46	13732/13732	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226c40482b55a607cd44486a2958741d4%22	https://static.hsappstatic.net/content-cwv-embed/static-1.971/embed.js	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/static.hsappstatic.net/content-cwv-embed/static-1.971/embed.js	(from https://niqsfitgym.me/)
16:48:46	8621/8621	---MCZ	200	added ('OK')	application/javascript	etag:W/%22285eb93e868cde55515ff02f60174f93%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836133999/1723878105737/marketplace/MagicalMtas/Relxo/js/vendor/modernizr-3.11.7.min.js	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836133999/1723878105737/marketplace/MagicalMtas/Relxo/js/vendor/modernizr-3.11.7.min.js	(from https://niqsfitgym.me/)
16:48:47	79790/79790	---MCZ	200	added ('OK')	application/javascript	etag:W/%222faceb2d3db75ced808545e78fab94ed%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175841684825/1723878104717/marketplace/MagicalMtas/Relxo/js/vendor/bootstrap.bundle.min.js	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175841684825/1723878104717/marketplace/MagicalMtas/Relxo/js/vendor/bootstrap.bundle.min.js	(from https://niqsfitgym.me/)
16:48:47	2826702/2826702	---M--	200	added ('OK')	image/png	etag:%22b9cc66109db889231b9c68692fb7bfaf%22	https://niqsfitgym.me/hubfs/Screenshot%202024-07-26%20134524.png	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hubfs/Screenshot%202024-07-26%20134524.png	(from https://niqsfitgym.me/)
16:48:47	14690/14690	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d3718e34eeb0355be8e3179a2e2bccb7%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175841684827/1723878105205/marketplace/MagicalMtas/Relxo/js/plugins/aos.min.js	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175841684827/1723878105205/marketplace/MagicalMtas/Relxo/js/plugins/aos.min.js	(from https://niqsfitgym.me/)
16:48:47	4608/4608	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ae60670a20f05e487c4748d9587b1f55%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175841684824/1723878104658/marketplace/MagicalMtas/Relxo/js/plugins/svg-inject.min.js	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175841684824/1723878104658/marketplace/MagicalMtas/Relxo/js/plugins/svg-inject.min.js	(from https://niqsfitgym.me/)
16:48:48	11790/11790	---MCZ	200	added ('OK')	application/javascript	etag:W/%22894f629c0a1d5d638fb7cf0c8bafae72%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836539230/1723878104051/marketplace/MagicalMtas/Relxo/js/plugins/vivus.min.js	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836539230/1723878104051/marketplace/MagicalMtas/Relxo/js/plugins/vivus.min.js	(from https://niqsfitgym.me/)
16:48:48	17638/17638	---MCZ	200	added ('OK')	application/javascript	etag:W/%2274ce3e110ff1e1c997a9d3187bebc5df%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836539228/1723878103750/marketplace/MagicalMtas/Relxo/js/plugins/parallax.min.js	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836539228/1723878103750/marketplace/MagicalMtas/Relxo/js/plugins/parallax.min.js	(from https://niqsfitgym.me/)
